Date,Symbol,Open,High,Low,Close,Adj Close,Volume,VWAP
12-06-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
13-06-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
16-06-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
17-06-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
18-06-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
19-06-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
20-06-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
23-06-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
24-06-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
25-06-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
26-06-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
27-06-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
30-06-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
01-07-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
02-07-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
03-07-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
04-07-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
07-07-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
08-07-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
09-07-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
10-07-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
11-07-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
14-07-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
15-07-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
16-07-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
17-07-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
